STAID,STANAME,CN,LAT,LON,HGHT,LAT_dec,LON_dec
30,SODANKYLA. LAPIN ILMATIET. TUTK.KESKUS,FI,+67:21:57,+026:37:59,179,67.36583333333333,26.633055555555558
75,XOSEDA-XARD,RU,+67:04:59,+059:22:59,82,67.08305555555555,59.38305555555556
78,KANDALAKSHA,RU,+67:09:00,+032:21:00,26,67.15,32.35
86,MURMANSK,RU,+68:58:00,+033:02:59,57,68.96666666666667,33.04972222222222
88,NAR'YAN-MAR,RU,+67:37:59,+053:01:59,10,67.63305555555554,53.033055555555556
178,BARKESTAD,NO,+68:49:00,+014:48:00,3,68.81666666666666,14.8
179,BJOERNOEYA,NO,+74:31:00,+019:01:00,16,74.51666666666667,19.016666666666666
185,SUOLOVUOPMI,NO,+69:35:17,+023:31:54,377,69.58805555555556,23.531666666666666
186,SVALBARD AIRPORT,NO,+78:15:00,+015:28:00,28,78.25,15.466666666666667
187,HOPEN,NO,+76:30:00,+025:04:00,6,76.5,25.066666666666666
188,GLOMFJORD,NO,+66:49:00,+013:58:59,39,66.81666666666666,13.983055555555556
189,JAN MAYEN,NO,+70:55:59,-008:40:00,10,70.93305555555555,-7.333333333333333
190,KARASJOK,NO,+69:28:00,+025:30:11,129,69.46666666666667,25.503055555555555
195,VARDOE,NO,+70:22:01,+031:05:04,14,70.36694444444444,31.084444444444443
266,BODOE VI,NO,+67:16:01,+014:21:32,11,67.26694444444445,14.358888888888888
298,ILULISSAT,GL,+69:13:12,-051:06:00,39,69.22,-50.9
300,ILULISSAT (JAKOBSHAVN),GL,+69:13:00,-051:03:00,39,69.21666666666667,-50.95
306,ILULISSAT MITTARFIK,GL,+69:13:59,-051:04:00,29,69.23305555555555,-50.93333333333333
328,TROMSO,NO,+69:39:14,+018:55:41,100,69.6538888888889,18.928055555555556
338,KVIKKJOKK-ARRENJARKA,SE,+66:53:15,+018:01:04,314,66.8875,18.017777777777777
734,MUONIO ALAMUONIO,FI,+67:58:05,+023:40:49,254,67.96805555555555,23.68027777777778
735,INARI IVALO LENTOASEMA,FI,+68:36:25,+027:25:05,147,68.60694444444444,27.418055555555558
942,KARASJOK-MARKANNJARGA,NO,+69:27:48,+025:30:07,131,69.46333333333334,25.501944444444444
955,SUOLOVUOPMI-LULIT,NO,+69:34:46,+023:32:03,381,69.57944444444443,23.534166666666668
1056,SKROVA FYR,NO,+68:09:01,+014:39:02,11,68.15027777777779,14.650555555555556
1057,BARDUFOSS,NO,+69:03:32,+018:32:25,76,69.05888888888889,18.540277777777778
1058,SIHCCAJAVRI,NO,+68:45:19,+023:32:18,382,68.75527777777778,23.538333333333334
1059,FRUHOLMEN FYR,NO,+71:05:35,+023:59:42,13,71.09305555555555,23.995
1060,RUSTEFJELBMA,NO,+70:24:01,+028:12:01,10,70.40027777777779,28.200277777777778
1067,BARENсBURG,RU,+78:04:00,+014:15:00,73,78.06666666666666,14.25
1068,TERIBERKA,RU,+69:12:00,+035:07:00,33,69.2,35.11666666666667
1069,PADUN,RU,+68:36:59,+031:48:00,34,68.61638888888888,31.8
1070,KOLA,RU,+68:52:47,+033:01:12,7,68.87972222222221,33.019999999999996
1071,PULOSERO,RU,+68:24:00,+033:17:59,143,68.4,33.29972222222222
1072,LOVOZERO,RU,+68:04:48,+034:48:59,161,68.08,34.81638888888889
1073,SVYATOJ NOS,RU,+68:09:00,+039:46:00,12,68.15,39.766666666666666
1074,KANIN NOS,RU,+68:39:00,+043:18:00,48,68.65,43.3
1075,MONCHEGORSK,RU,+68:00:00,+032:54:00,145,68.0,32.9
1076,KHIBINY,RU,+67:40:48,+033:15:00,130,67.68,33.25
1077,KRASNOSсEL'E,RU,+67:20:59,+037:03:00,155,67.34972222222221,37.05
1078,MYS_KONUSIN,RU,+67:12:00,+043:54:00,13,67.2,43.9
1079,SOJNA,RU,+67:54:00,+044:06:00,18,67.9,44.1
1080,MYS_MIKULKIN,RU,+67:48:00,+046:42:00,6,67.8,46.7
1081,INDIGA,RU,+67:40:59,+048:40:59,3,67.68305555555555,48.683055555555555
1082,KOVDA,RU,+66:40:48,+032:54:00,30,66.68,32.9
1084,UMBA,RU,+66:40:59,+034:21:00,39,66.68305555555555,34.35
1087,NIZHNAYA PESHA,RU,+66:45:00,+047:46:12,5,66.75,47.769999999999996
1409,KARESUANDO,SE,+68:26:31,+022:27:01,330,68.44194444444445,22.450277777777778
1411,PAJALA,SE,+67:12:35,+023:23:34,168,67.20972222222223,23.392777777777777
1429,JOKKMOKK,SE,+66:37:47,+019:38:24,254,66.62972222222221,19.64
1430,VITTANGI,SE,+67:40:48,+021:37:48,250,67.68,21.63
2215,ANDOYA,NO,+69:18:00,+016:08:59,14,69.3,16.149722222222223
2216,SLETTNES FYR,NO,+71:05:02,+028:13:04,8,71.08388888888888,28.217777777777776
2267,KEVO,FI,+69:45:00,+027:01:48,107,69.75,27.029999999999998
2269,PELLO KK MUSEOTIE,FI,+66:46:20,+023:58:01,84,66.77222222222223,23.966944444444444
2732,ALSVAG I VERSTERALEN II,NO,+68:54:52,+015:12:38,18,68.91444444444446,15.210555555555555
2733,BODOE - VAGONES,NO,+67:16:59,+014:28:00,33,67.28305555555555,14.466666666666667
2734,HEGGMOEN VED BODOE,NO,+67:21:20,+014:51:16,7,67.35555555555555,14.854444444444445
2736,LEKNES I LOFOTEN,NO,+68:08:26,+013:36:34,13,68.14055555555557,13.609444444444444
2739,STEIGEN,NO,+67:55:18,+015:07:01,35,67.92166666666667,15.116944444444444
2740,SULITJELMA,NO,+67:08:04,+016:04:15,142,67.13444444444445,16.070833333333333
2744,BONES I BARDU,NO,+68:38:44,+018:14:44,230,68.64555555555556,18.245555555555555
2745,DIVIDALEN,NO,+68:46:41,+019:42:36,228,68.77805555555555,19.71
2746,GAUSVIK,NO,+68:36:32,+016:29:40,7,68.60888888888888,16.494444444444447
2747,INNSET I BARDU,NO,+68:39:28,+018:49:09,314,68.65777777777778,18.819166666666668
2748,SAETERMOEN II,NO,+68:51:38,+018:20:15,114,68.86055555555555,18.3375
2749,STORSTEINNES I BALSFJORD,NO,+69:14:49,+019:13:51,27,69.24694444444445,19.230833333333333
2750,TORSVAG FYR,NO,+70:14:44,+019:30:02,21,70.24555555555555,19.500555555555554
2751,CUOVDDATMOHKKI,NO,+69:22:00,+024:25:59,286,69.36666666666666,24.43305555555556
2752,KAUTOKEINO,NO,+68:59:48,+023:02:00,307,68.99666666666667,23.033333333333335
2753,KAUTOKEINO II,NO,+69:01:00,+023:02:02,330,69.01666666666667,23.03388888888889
2754,MAKKAUR FYR,NO,+70:42:02,+030:04:05,9,70.70055555555555,30.068055555555556
2755,ISFJORD RADIO,NO,+78:04:00,+013:37:59,7,78.06666666666666,13.633055555555556
2756,SVEAGRUVA,NO,+77:52:59,+016:43:00,9,77.88305555555554,16.716666666666665
2942,DANMARKSHAVN,GL,+76:46:12,-018:40:12,12,76.77,-17.33
2959,MALY'E KARMAKULY',RU,+72:22:00,+052:42:00,18,72.36666666666666,52.7
3060,BELY'J OSTROV,RU,+73:19:59,+070:03:00,4,73.33305555555555,70.05
3062,MARRESALYA,RU,+69:43:00,+066:48:00,24,69.71666666666667,66.8
3063,VORKUTA,RU,+67:30:00,+064:00:00,172,67.5,64.0
3064,NOVY'J PORT,RU,+67:40:59,+072:52:59,11,67.68305555555555,72.88305555555554
3193,DIKSON,RU,+73:30:00,+080:24:00,42,73.5,80.4
3194,XATANGA,RU,+71:58:59,+102:28:00,31,71.98305555555555,102.46666666666667
3195,CHOKURDAX,RU,+70:37:00,+147:52:59,44,70.61666666666666,147.88305555555556
3196,OSTROV VRANGELYA,RU,+70:58:59,+181:31:00,2,70.98305555555555,181.51666666666668
3197,MY'S KAMENNY'J,RU,+68:28:00,+073:34:59,2,68.46666666666667,73.58305555555555
3203,OLENEK,RU,+68:30:00,+112:25:59,217,68.5,112.43305555555555
3204,VERXOYANSK,RU,+67:34:00,+133:24:00,136,67.56666666666666,133.4
3205,ZHIGANSK,RU,+66:46:00,+123:24:00,88,66.76666666666667,123.4
3216,MY'S SHMIDTA,RU,+68:54:00,+180:37:59,2,68.9,180.63305555555556
3539,PAJALA A,SE,+67:12:18,+023:23:43,171,67.205,23.39527777777778
3540,KATTERJAKK,SE,+68:25:18,+018:10:10,515,68.42166666666667,18.169444444444444
3773,RUDOLF ISLAND,RU,+81:48:00,+057:58:12,51,81.8,57.97
3775,KOTKINO,RU,+67:00:00,+051:12:00,18,67.0,51.2
5001,ALTA LUFTHAVN,NO,+69:58:39,+023:21:29,3,69.9775,23.358055555555556
5002,HAMMERFEST LUFTHAVN,NO,+70:40:50,+023:40:37,81,70.68055555555556,23.676944444444445
5003,HONNINGSVAG LUFTHAVN,NO,+71:00:38,+025:58:41,14,71.01055555555556,25.978055555555553
5004,MEHAMN LUFTHAVN,NO,+71:01:59,+027:49:46,13,71.03305555555555,27.829444444444444
5005,BERLEVAG LUFTHAVN,NO,+70:52:14,+029:02:04,13,70.87055555555555,29.034444444444446
5006,PORSA II,NO,+70:23:57,+023:37:32,38,70.39916666666667,23.625555555555557
5007,REPVAG,NO,+70:46:23,+025:36:57,3,70.77305555555556,25.615833333333335
5008,SIRBMA,NO,+70:01:08,+027:24:50,51,70.01888888888888,27.413888888888888
5009,VADSO LUFTHAVN,NO,+70:03:55,+029:50:07,39,70.06527777777778,29.835277777777776
5010,VEINES I NEIDEN,NO,+69:42:14,+029:15:07,44,69.7038888888889,29.251944444444444
5011,SKOGFOSS,NO,+69:22:23,+029:41:40,55,69.37305555555555,29.694444444444446
5059,BJORKASEN,NO,+68:19:49,+016:47:17,53,68.33027777777778,16.78805555555556
5060,EVENES LUFTHAVN,NO,+68:29:27,+016:40:59,26,68.49083333333333,16.68305555555556
5061,LONSDAL,NO,+66:44:35,+015:27:00,511,66.74305555555556,15.45
5062,KJERRINGOY - OS,NO,+67:32:18,+014:50:25,15,67.53833333333333,14.840277777777779
5063,KVITFOSSEN I VAGAN,NO,+68:19:13,+014:39:11,3,68.32027777777778,14.653055555555556
5064,KONGSMARKA,NO,+68:14:09,+014:28:26,29,68.23583333333333,14.473888888888888
5065,LEKNES LUFTHAVN,NO,+68:09:18,+013:36:54,26,68.155,13.615
5068,SUNDSFJORD,NO,+66:58:15,+014:09:15,11,66.97083333333333,14.154166666666667
5069,VALLJORD,NO,+67:21:38,+015:35:21,3,67.36055555555555,15.589166666666667
5070,NARVIK LUFTHAVN,NO,+68:26:22,+017:23:18,31,68.43944444444445,17.388333333333332
5071,SVOLVAER LUFTHAVN,NO,+68:14:43,+014:40:09,9,68.24527777777777,14.669166666666666
5072,REINE,NO,+67:55:54,+013:05:30,17,67.93166666666667,13.091666666666667
5073,STOKMARKNES LH - SKAGEN,NO,+68:34:48,+015:01:45,3,68.58,15.029166666666667
5139,NY-ALESUND I,NO,+78:55:30,+011:55:48,42,78.92500000000001,11.93
5140,NY-ALESUND,NO,+78:55:23,+011:55:59,8,78.92305555555556,11.933055555555555
5149,HEKKINGEN FYR,NO,+69:36:02,+017:50:14,14,69.60055555555554,17.83722222222222
5150,TROMSO - LANGNES,NO,+69:40:36,+018:54:47,8,69.67666666666668,18.913055555555555
5151,GRUNNFJORD - STAKKEN,NO,+70:00:50,+019:34:41,7,70.01388888888889,19.578055555555554
5152,SORKJOSEN LUFTHAVN,NO,+69:47:20,+020:57:19,6,69.78888888888889,20.955277777777777
5153,NORDSTRAUM I KVAENANGEN,NO,+69:50:00,+021:53:03,6,69.83333333333333,21.884166666666665
5821,VUOGGATJALME,SE,+66:34:48,+016:21:00,500,66.58,16.35
5822,YLINENJARVI_A,SE,+66:37:12,+023:28:12,132,66.61999999999999,23.47
5823,MIERKENIES,SE,+66:40:48,+016:06:36,614,66.68,16.110000000000003
5824,MIERKENIS_A,SE,+66:40:48,+016:06:36,614,66.68,16.110000000000003
5825,KARATS,SE,+66:41:24,+018:48:36,420,66.69,18.810000000000002
5826,MARKUSVINSA,SE,+66:43:48,+022:54:00,164,66.73,22.9
5827,SARKAVARA,SE,+66:44:23,+020:21:36,385,66.73972222222223,20.360000000000003
5828,NATTAVAARA_A,SE,+66:45:00,+020:55:48,327,66.75,20.93
5829,NATTAVAARA_BY,SE,+66:45:36,+021:03:00,350,66.76,21.05
5830,RANDIJAUR,SE,+66:45:36,+019:19:12,285,66.76,19.32
5831,NATTAVARA,SE,+66:46:12,+020:58:12,330,66.77,20.97
5832,PAHAROVA_A,SE,+66:48:36,+022:20:24,228,66.81,22.34
5833,KORPILOMBOLO_M,SE,+66:50:59,+023:03:36,178,66.84972222222221,23.060000000000002
5834,KVIKKJOKK-ARRENJARKA,SE,+66:57:35,+017:43:48,314,66.95972222222223,17.729999999999997
5835,KVIKKJOKK-ARRENJARKA A,SE,+66:53:24,+018:01:12,320,66.89,18.02
5836,KOMPELUSVAARA,SE,+67:05:24,+022:13:12,255,67.08999999999999,22.22
5837,ALLOLUOKTA,SE,+67:07:47,+019:30:00,370,67.12972222222221,19.5
5838,GALLIVARE_FLYGPLATS,SE,+67:08:24,+020:48:36,312,67.14,20.810000000000002
5839,GALLIVARE_A,SE,+67:08:24,+020:39:00,359,67.14,20.65
5840,GALLIVARE,SE,+67:08:24,+020:39:36,400,67.14,20.66
5841,AKTSE,SE,+67:09:00,+018:18:36,530,67.15,18.310000000000002
5842,MALMBERGET,SE,+67:10:12,+020:40:12,400,67.17,20.67
5843,LATNIVAARA_A,SE,+67:15:36,+020:16:12,453,67.26,20.27
5844,ALUOKTA,SE,+67:18:36,+018:54:00,385,67.31,18.9
5845,SAITTAROVA_A,SE,+67:20:24,+022:13:48,240,67.33999999999999,22.229999999999997
5846,SALTOLUOKTA,SE,+67:22:47,+018:33:00,393,67.37972222222221,18.55
5847,BJORKUDDEN,SE,+67:24:00,+018:43:12,376,67.4,18.72
5848,STORA_SJOFALLET_A,SE,+67:30:00,+018:17:24,425,67.5,18.290000000000003
5849,SATIS,SE,+67:30:00,+018:23:24,425,67.5,18.39
5850,SVAPPAVAARA,SE,+67:39:00,+021:03:00,345,67.65,21.05
5851,RITSEM,SE,+67:43:48,+017:28:11,521,67.73,17.46972222222222
5852,RITSEM_A,SE,+67:43:48,+017:28:11,532,67.73,17.46972222222222
5853,PARKALOMPOLO_A,SE,+67:43:48,+022:49:48,312,67.73,22.83
5854,LAINIO,SE,+67:45:36,+022:21:00,315,67.76,22.35
5855,KIRUNA_FLYGPLATS,SE,+67:49:48,+020:20:24,459,67.83,20.34
5856,NIKKALUOKTA,SE,+67:50:59,+019:01:12,470,67.84972222222221,19.02
5857,KIRUNA 1,SE,+67:50:59,+020:13:48,505,67.84972222222221,20.229999999999997
5858,NIKKALUOKTA_A,SE,+67:50:59,+019:01:48,466,67.84972222222221,19.029999999999998
5859,ESRANGE,SE,+67:53:24,+021:04:12,335,67.89,21.07
5860,TARFALA_A,SE,+67:54:36,+018:36:36,1150,67.91000000000001,18.610000000000003
5861,MUODOSLOMPOLO,SE,+67:56:24,+023:26:24,240,67.94,23.44
5862,NEDRE_SOPPERO_V,SE,+68:03:00,+021:46:12,355,68.05,21.77
5863,LANNAVAARA,SE,+68:03:00,+021:58:48,630,68.05,21.979999999999997
5864,RENSJON_A,SE,+68:04:11,+019:50:24,493,68.06972222222223,19.84
5865,TORNETRASK,SE,+68:13:12,+019:42:36,393,68.22,19.71
5866,KATTUVUOMA,SE,+68:16:48,+019:54:00,355,68.28,19.9
5867,ABISKO_AUT,SE,+68:21:36,+018:49:12,388,68.36,18.82
5868,ABISKO,SE,+68:21:36,+018:49:12,388,68.36,18.82
5869,KATTERJAKK_A,SE,+68:25:12,+018:10:12,516,68.42,18.17
5870,RIKSGRANSEN,SE,+68:25:48,+018:07:48,508,68.43,18.13
5871,VASSIJAURE,SE,+68:25:48,+018:16:48,537,68.43,18.279999999999998
5872,TORNEHAMN,SE,+68:25:48,+018:37:48,512,68.43,18.63
5873,KARESUANDO_A,SE,+68:26:24,+022:27:00,330,68.44,22.45
5874,NAIMAKKA_A,SE,+68:40:48,+021:31:48,402,68.68,21.529999999999998
5875,NAIMAKKA,SE,+68:40:48,+021:31:48,403,68.68,21.529999999999998
6859,RUOKOJARVI,SE,+66:37:12,+023:18:00,170,66.61999999999999,23.3
6860,SVANSTEIN,SE,+66:39:00,+023:51:36,80,66.65,23.860000000000003
6861,JOCK,SE,+66:39:36,+022:43:12,105,66.66000000000001,22.72
6862,LANSJARV,SE,+66:39:36,+022:11:24,90,66.66000000000001,22.19
6863,SARKAVARE,SE,+66:44:23,+020:21:36,377,66.73972222222223,20.360000000000003
6865,ANGESA,SE,+66:45:00,+022:18:00,100,66.75,22.3
6866,SKROVEN,SE,+66:46:48,+021:50:24,150,66.78,21.84
6867,STORBERGET,SE,+66:46:12,+021:46:12,330,66.77,21.77
6868,NATTAVAARA-VARSJO,SE,+66:46:48,+020:34:48,410,66.78,20.58
6870,PAHAROVA,SE,+66:48:36,+022:20:24,215,66.81,22.34
6871,KENTTASAARI_D,SE,+66:49:11,+022:53:24,135,66.81972222222223,22.89
6872,KORPILOMBOLO,SE,+66:50:59,+023:04:12,165,66.84972222222221,23.07
6874,NAUTIJAUR,SE,+66:54:00,+019:14:24,355,66.9,19.240000000000002
6875,TJAMOTIS,SE,+66:55:12,+018:32:24,300,66.92,18.540000000000003
6876,HAKKAS,SE,+66:55:12,+021:33:36,355,66.92,21.560000000000002
6877,JARHOIS,SE,+66:57:35,+023:49:48,110,66.95972222222223,23.83
6878,PORJUS,SE,+66:57:35,+019:49:12,390,66.95972222222223,19.82
6879,SADJEM_D,SE,+66:57:35,+021:13:48,355,66.95972222222223,21.229999999999997
6880,PORJUS2,SE,+66:58:48,+019:50:24,430,66.98,19.84
6881,HARRTRASK,SE,+67:01:48,+020:42:00,410,67.03,20.7
6882,METTA-DOKKAS,SE,+67:04:11,+021:17:24,270,67.06972222222223,21.290000000000003
6883,GRANHULT_D,SE,+67:07:47,+021:48:00,275,67.12972222222221,21.8
6885,TARENDO,SE,+67:10:48,+022:39:00,165,67.18,22.65
6886,NILIVAARA,SE,+67:13:48,+021:36:36,320,67.23,21.610000000000003
6887,LADNIVAARA,SE,+67:15:36,+020:16:48,460,67.26,20.279999999999998
6888,ALLAVAARA,SE,+67:15:36,+020:07:12,480,67.26,20.12
6890,SAITTAROVA_D,SE,+67:19:48,+022:14:24,240,67.33,22.240000000000002
6891,KAUNISVAARA,SE,+67:21:36,+023:19:12,180,67.36,23.32
6892,MOSKOJARVI,SE,+67:22:12,+021:04:48,390,67.36999999999999,21.08
6893,STALOLUOKTA,SE,+67:24:36,+016:25:12,600,67.41000000000001,16.42
6894,SKAULO,SE,+67:25:12,+021:07:12,390,67.42,21.12
6895,KANGOS,SE,+67:30:00,+022:39:36,230,67.5,22.66
6896,PARAKKA,SE,+67:29:23,+021:40:12,340,67.48972222222223,21.67
6897,KILLINGI,SE,+67:31:12,+020:14:24,490,67.52,20.240000000000002
6898,KAITUM,SE,+67:31:48,+020:07:12,485,67.53,20.12
6899,KERANTOJARVI,SE,+67:38:24,+022:55:12,315,67.64,22.92
6900,PARKALOMPOLO,SE,+67:43:48,+022:49:48,310,67.73,22.83
6901,PARKAJOKI,SE,+67:43:48,+023:29:24,200,67.73,23.490000000000002
6903,PUOLTSA,SE,+67:48:00,+019:51:36,465,67.8,19.860000000000003
6904,KIRUNA,SE,+67:50:59,+020:15:00,500,67.84972222222221,20.25
6907,SORFJORD_KRV,SE,+68:03:36,+016:35:24,0,68.06,16.59
6908,OVRE_SOPPERO,SE,+68:05:24,+021:42:00,365,68.08999999999999,21.7
6910,KATKESUANDO,SE,+68:07:12,+023:19:48,250,68.11999999999999,23.33
6911,BERGFORS,SE,+68:09:00,+019:48:00,480,68.15,19.8
6912,SUDDJAVAARA,SE,+68:12:00,+022:45:36,350,68.2,22.76
6913,SKJOMEN_SLETTJORD,SE,+68:17:24,+017:18:35,0,68.28999999999999,17.309722222222224
6914,BJORKLIDEN,SE,+68:22:47,+018:40:48,360,68.37972222222221,18.68
6917,SAARIKOSKI_D,SE,+68:48:36,+021:15:00,450,68.81,21.25
6918,KEINOVUOPIO_D,SE,+68:52:12,+021:01:48,460,68.86999999999999,21.029999999999998
6919,KUMMAVUOPIO,SE,+68:54:36,+020:52:12,465,68.91000000000001,20.87
6935,KIRUNA_SOL,SE,+67:49:48,+020:25:48,408,67.83,20.43
6936,TARFALA_SOL,SE,+67:54:36,+018:36:36,1150,67.91000000000001,18.610000000000003
7779,KOLARI TEURAVUOMA,FI,+67:16:44,+023:46:18,148,67.27888888888889,23.771666666666665
7780,PELLO TURTOLANKYLA,FI,+66:34:59,+023:54:00,70,66.58305555555555,23.9
7781,KOLARI KELLONIEMI,FI,+67:13:59,+023:34:59,125,67.23305555555555,23.583055555555557
7782,KOLARI RAUTUVAARA,FI,+67:28:59,+023:54:00,213,67.48305555555555,23.9
7783,KOLARI TULLI,FI,+67:18:00,+023:45:00,146,67.3,23.75
7785,PELLO KONTTAJARVI,FI,+66:50:26,+024:23:03,135,66.84055555555555,24.384166666666665
7786,PELLO RUUHIJARVI,FI,+66:50:59,+024:40:00,180,66.84972222222221,24.666666666666668
7787,KITTILA ALAKYLA-1,FI,+67:16:59,+024:52:59,170,67.28305555555555,24.883055555555558
7788,KOLARI KATTILAMAA,FI,+67:23:02,+024:00:57,171,67.38388888888889,24.015833333333333
7789,KITTILA KAUKONEN,FI,+67:28:00,+024:55:00,182,67.46666666666667,24.916666666666668
7790,KOLARI VENEJARVI,FI,+67:16:59,+024:12:00,201,67.28305555555555,24.2
7791,KITTILA ALAKYLA,FI,+67:15:42,+024:58:12,192,67.26166666666667,24.97
